Rk,Player,Nation,Pos,Squad,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,16.0,2,1,1,13,2,1,15.4,0.81,0.12,0.08,0.50,1.5,0.8,0.06,+0.5,+0.2,Matches
2,Max Aarons\Max-Aarons,eng ENG,MF,Norwich City,18.0,0,0,0,9,2,0,22.2,0.50,0.11,0.00,0.00,0.3,0.3,0.03,-0.3,-0.3,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,16.6,12,0,0,58,24,0,41.4,3.50,1.45,0.21,0.50,9.0,9.0,0.16,+3.0,+3.0,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,7.0,0,0,0,15,2,0,13.3,2.13,0.28,0.00,0.00,1.5,1.5,0.10,-1.5,-1.5,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,8.7,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,10.1,10,2,2,43,13,0,30.2,4.26,1.29,0.19,0.62,8.1,6.6,0.15,+1.9,+1.4,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,FW,West Ham,1.3,0,0,0,1,0,0,0.0,0.74,0.00,0.00,,0.1,0.1,0.06,-0.1,-0.1,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DFMF,Bournemouth,15.4,1,0,0,13,3,0,23.1,0.84,0.19,0.08,0.33,1.0,1.0,0.07,0.0,0.0,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,3.9,0,0,0,5,2,0,40.0,1.27,0.51,0.00,0.00,0.2,0.2,0.04,-0.2,-0.2,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,19.0,0,0,0,7,2,0,28.6,0.37,0.11,0.00,0.00,0.4,0.4,0.06,-0.4,-0.4,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DFMF,Liverpool,18.5,2,0,0,22,7,3,31.8,1.19,0.38,0.09,0.29,1.6,1.6,0.07,+0.4,+0.4,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,10.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
13,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,12.0,6,0,0,21,14,0,66.7,1.76,1.17,0.29,0.43,3.4,3.4,0.16,+2.6,+2.6,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,MF,Newcastle Utd,17.7,1,0,0,32,8,0,25.0,1.81,0.45,0.03,0.13,3.8,3.8,0.12,-2.8,-2.8,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,6.5,1,0,0,7,3,0,42.9,1.07,0.46,0.14,0.33,0.4,0.4,0.06,+0.6,+0.6,Matches
16,Steven Alzate\Steven-Alzate,co COL,MF,Brighton,9.4,0,0,0,10,3,0,30.0,1.06,0.32,0.00,0.00,1.0,1.0,0.10,-1.0,-1.0,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DF,Norwich City,8.1,0,0,0,5,0,0,0.0,0.62,0.00,0.00,,1.0,1.0,0.20,-1.0,-1.0,Matches
18,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,13.2,0,0,0,18,7,0,38.9,1.36,0.53,0.00,0.00,1.6,1.6,0.09,-1.6,-1.6,Matches
19,Florin Andone\Florin-Andone,ro ROU,FW,Brighton,0.8,1,0,0,1,1,0,100.0,1.27,1.27,1.00,1.00,0.2,0.2,0.15,+0.8,+0.8,Matches
20,Angeliño\Angelino,es ESP,DF,Manchester City,4.7,0,0,0,5,0,0,0.0,1.07,0.00,0.00,,0.2,0.2,0.05,-0.2,-0.2,Matches
21,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,6.1,1,0,0,20,9,0,45.0,3.27,1.47,0.05,0.11,2.3,2.3,0.12,-1.3,-1.3,Matches
22,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,6.0,0,0,0,6,2,0,33.3,1.00,0.33,0.00,0.00,0.5,0.5,0.09,-0.5,-0.5,Matches
23,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,20.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
24,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,6.8,0,0,0,5,1,0,20.0,0.74,0.15,0.00,0.00,0.2,0.2,0.04,-0.2,-0.2,Matches
25,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FWMF,Arsenal,19.9,13,1,1,52,20,1,38.5,2.62,1.01,0.23,0.60,9.2,8.5,0.16,+3.8,+3.5,Matches
26,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,14.1,0,0,0,7,2,0,28.6,0.50,0.14,0.00,0.00,0.3,0.3,0.05,-0.3,-0.3,Matches
27,Jordan Ayew\Jordan-Ayew,gh GHA,FW,Crystal Palace,17.6,5,0,0,31,12,0,38.7,1.76,0.68,0.16,0.42,4.5,4.5,0.15,+0.5,+0.5,Matches
28,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,17.9,0,0,0,10,2,0,20.0,0.56,0.11,0.00,0.00,0.5,0.5,0.05,-0.5,-0.5,Matches
29,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,1.7,0,0,0,1,0,1,0.0,0.59,0.00,0.00,,0.1,0.1,0.05,-0.1,-0.1,Matches
30,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,10.0,1,0,0,10,4,0,40.0,1.00,0.40,0.10,0.25,1.7,1.7,0.17,-0.7,-0.7,Matches
31,George Baldock\George-Baldock,eng ENG,DFMF,Sheffield Utd,20.0,2,0,0,8,4,0,50.0,0.40,0.20,0.25,0.50,0.5,0.5,0.06,+1.5,+1.5,Matches
32,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,8.0,0,0,0,4,2,0,50.0,0.50,0.25,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1,Matches
33,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,3.8,0,0,0,15,5,1,33.3,3.98,1.33,0.00,0.00,1.0,1.0,0.07,-1.0,-1.0,Matches
34,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,14.6,6,1,1,38,11,0,28.9,2.60,0.75,0.13,0.45,5.3,4.6,0.12,+0.7,+0.4,Matches
35,Harvey Barnes\Harvey-Barnes,eng ENG,MF,Leicester City,12.0,1,0,0,32,11,0,34.4,2.66,0.91,0.03,0.09,4.0,4.0,0.13,-3.0,-3.0,Matches
36,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,19.4,0,0,0,3,0,0,0.0,0.15,0.00,0.00,,0.4,0.4,0.15,-0.4,-0.4,Matches
37,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,1.3,1,0,0,12,2,0,16.7,9.15,1.53,0.08,0.50,1.6,1.6,0.14,-0.6,-0.6,Matches
38,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,20.0,0,0,0,4,0,0,0.0,0.20,0.00,0.00,,0.6,0.6,0.15,-0.6,-0.6,Matches
39,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,2.9,0,0,0,1,0,0,0.0,0.34,0.00,0.00,,0.0,0.0,0.04,0.0,0.0,Matches
40,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,6.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
41,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,5.4,0,0,0,16,9,0,56.3,2.96,1.67,0.00,0.00,1.3,1.3,0.08,-1.3,-1.3,Matches
42,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,FWMF,Burnley,4.0,1,0,0,7,2,2,28.6,1.77,0.51,0.14,0.50,0.4,0.4,0.06,+0.6,+0.6,Matches
43,Bernard\Bernard,br BRA,FWMF,Everton,7.3,2,0,0,6,2,0,33.3,0.82,0.27,0.33,1.00,0.3,0.3,0.05,+1.7,+1.7,Matches
44,Bernardo\Bernardo,br BRA,DF,Brighton,1.6,0,0,0,1,1,0,100.0,0.63,0.63,0.00,0.00,0.0,0.0,0.02,0.0,0.0,Matches
45,Ryan Bertrand\Ryan-Bertrand,eng ENG,DFMF,Southampton,13.5,1,0,0,7,2,1,28.6,0.52,0.15,0.14,0.50,1.6,1.6,0.23,-0.6,-0.6,Matches
46,Muhamed Bešić\Muhamed-Besic,ba BIH,DFMF,Sheffield Utd,1.3,0,0,0,2,0,0,0.0,1.49,0.00,0.00,,0.1,0.1,0.04,-0.1,-0.1,Matches
47,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,16.7,0,0,0,18,4,1,22.2,1.08,0.24,0.00,0.00,0.8,0.8,0.04,-0.8,-0.8,Matches
48,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,4.0,0,0,0,6,3,0,50.0,1.50,0.75,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1,Matches
49,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,8.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
50,Gaëtan Bong\Gaetan-Bong,cm CMR,DF,Brighton,0.6,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
51,Sofiane Boufal\Sofiane-Boufal,ma MAR,MF,Southampton,6.2,0,0,0,17,6,0,35.3,2.73,0.96,0.00,0.00,0.8,0.8,0.05,-0.8,-0.8,Matches
52,Robbie Brady\Robbie-Brady,ie IRL,FWMF,Burnley,3.9,1,0,0,8,1,2,12.5,2.05,0.26,0.13,1.00,0.9,0.9,0.12,+0.1,+0.1,Matches
53,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,2.8,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
54,Emi Buendía\Emi-Buendia,ar ARG,FW,Norwich City,16.7,0,0,0,20,5,5,25.0,1.20,0.30,0.00,0.00,1.2,1.2,0.06,-1.2,-1.2,Matches
55,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,20.0,0,0,0,10,0,0,0.0,0.50,0.00,0.00,,0.7,0.7,0.07,-0.7,-0.7,Matches
56,Sam Byram\Sam-Byram,eng ENG,DFMF,Norwich City,9.1,0,0,0,11,1,0,9.1,1.21,0.11,0.00,0.00,1.0,1.0,0.09,-1.0,-1.0,Matches
57,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,12.0,0,0,0,7,1,0,14.3,0.58,0.08,0.00,0.00,0.6,0.6,0.08,-0.6,-0.6,Matches
58,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,MF,Everton,12.6,8,0,0,34,15,0,44.1,2.70,1.19,0.24,0.53,6.6,6.6,0.19,+1.4,+1.4,Matches
59,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
60,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,4.4,0,0,0,6,2,0,33.3,1.36,0.45,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,Matches
61,Todd Cantwell\Todd-Cantwell,eng ENG,,Norwich City,15.3,5,0,0,24,13,0,54.2,1.57,0.85,0.21,0.38,4.5,4.5,0.19,+0.5,+0.5,Matches
62,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,14.8,0,0,0,12,1,1,8.3,0.81,0.07,0.00,0.00,0.6,0.6,0.05,-0.6,-0.6,Matches
63,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,5.5,0,0,0,10,2,0,20.0,1.81,0.36,0.00,0.00,0.5,0.5,0.05,-0.5,-0.5,Matches
64,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,17.9,1,0,0,13,4,0,30.8,0.73,0.22,0.08,0.25,1.0,1.0,0.08,0.0,0.0,Matches
65,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,17.2,0,0,0,1,0,0,0.0,0.06,0.00,0.00,,0.1,0.1,0.08,-0.1,-0.1,Matches
66,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,7.4,0,0,0,9,3,0,33.3,1.22,0.41,0.00,0.00,0.3,0.3,0.04,-0.3,-0.3,Matches
67,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,DFMF,Watford,4.3,0,0,0,4,0,0,0.0,0.93,0.00,0.00,,0.2,0.2,0.05,-0.2,-0.2,Matches
68,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,12.3,1,0,0,12,2,0,16.7,0.98,0.16,0.08,0.50,0.6,0.6,0.05,+0.4,+0.4,Matches
69,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,15.9,1,0,0,7,3,0,42.9,0.44,0.19,0.14,0.33,0.4,0.4,0.06,+0.6,+0.6,Matches
70,Tahith Chong\Tahith-Chong,nl NED,,Manchester Utd,0.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
71,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,5.0,0,0,0,4,1,0,25.0,0.81,0.20,0.00,0.00,0.3,0.3,0.06,-0.3,-0.3,Matches
72,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,7.5,0,0,0,3,1,0,33.3,0.40,0.13,0.00,0.00,0.2,0.2,0.07,-0.2,-0.2,Matches
73,Ciaran Clark\Ciaran-Clark,ie IRL,DFMF,Newcastle Utd,8.5,2,0,0,5,4,0,80.0,0.59,0.47,0.40,0.50,0.8,0.8,0.17,+1.2,+1.2,Matches
74,Leon Clarke\Leon-Clarke,eng ENG,FW,Sheffield Utd,0.1,0,0,0,1,0,0,0.0,6.92,0.00,0.00,,0.4,0.4,0.41,-0.4,-0.4,Matches
75,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,7.2,1,0,0,15,4,0,26.7,2.09,0.56,0.07,0.25,1.5,1.5,0.10,-0.5,-0.5,Matches
76,Conor Coady\Conor-Coady,eng ENG,DFMF,Wolves,20.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
77,Séamus Coleman\Seamus-Coleman,ie IRL,DFMF,Everton,9.9,0,0,0,5,1,0,20.0,0.51,0.10,0.00,0.00,0.5,0.5,0.10,-0.5,-0.5,Matches
78,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,7.5,2,0,0,22,8,0,36.4,2.93,1.07,0.09,0.25,2.2,2.2,0.10,-0.2,-0.2,Matches
79,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,7.9,0,0,0,5,1,0,20.0,0.64,0.13,0.00,0.00,0.2,0.2,0.04,-0.2,-0.2,Matches
80,Steve Cook\Steve-Cook,eng ENG,DFMF,Bournemouth,16.0,1,0,0,11,1,0,9.1,0.69,0.06,0.09,1.00,0.7,0.7,0.06,+0.3,+0.3,Matches
81,Jack Cork\Jack-Cork,eng ENG,DFMF,Burnley,17.3,0,0,0,10,3,0,30.0,0.58,0.17,0.00,0.00,1.2,1.2,0.12,-1.2,-1.2,Matches
82,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,12.5,3,0,0,11,5,4,45.5,0.88,0.40,0.27,0.60,0.8,0.8,0.07,+2.2,+2.2,Matches
83,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,3.2,2,0,0,11,3,0,27.3,3.39,0.92,0.18,0.67,2.3,2.3,0.21,-0.3,-0.3,Matches
84,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,0.7,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
85,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,1.4,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
86,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,3.7,0,0,0,1,0,0,0.0,0.27,0.00,0.00,,0.1,0.1,0.12,-0.1,-0.1,Matches
87,Kevin Danso\Kevin-Danso,at AUT,MF,Southampton,3.1,0,0,0,1,0,0,0.0,0.33,0.00,0.00,,0.1,0.1,0.08,-0.1,-0.1,Matches
88,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,4.0,0,0,0,1,0,0,0.0,0.25,0.00,0.00,,0.0,0.0,0.03,0.0,0.0,Matches
89,Tom Davies\Tom-Davies,eng ENG,MF,Everton,10.2,1,0,0,10,5,0,50.0,0.98,0.49,0.10,0.20,1.4,1.4,0.14,-0.4,-0.4,Matches
90,Keinan Davis\Keinan-Davis,eng ENG,,Aston Villa,0.8,0,0,0,4,2,0,50.0,4.86,2.43,0.00,0.00,0.5,0.5,0.13,-0.5,-0.5,Matches
