,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Clr,Err,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,26.9,50,32,32,16,2,21,51,41.2,30,259,71,27.4,155,68,36,54,12,1,42,43,67,3,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,34.0,61,35,38,16,7,20,43,46.5,23,462,131,28.4,262,138,62,83,27,1,56,32,79,0,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,24.1,14,10,4,5,5,4,15,26.7,11,420,126,30.0,19,165,236,23,5,0,18,5,26,0,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,10.6,7,5,2,3,2,0,5,0.0,5,219,54,24.7,8,93,118,7,1,0,6,2,8,0,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,2,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,16.1,7,5,0,4,3,1,6,16.7,5,222,56,25.2,13,74,135,15,2,0,13,3,3,0,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.5,1,0,0,0,1,0,0,,0,21,1,4.8,3,6,12,0,0,0,0,1,0,0,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,27.8,25,11,20,5,0,7,24,29.2,17,222,66,29.7,146,66,10,59,30,0,29,33,176,1,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,29,1989,8.8,19,8,9,9,1,4,25,16.0,21,175,57,32.6,41,86,48,17,1,0,16,6,6,0,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,29.9,39,21,22,14,3,14,36,38.9,22,236,77,32.6,154,73,9,66,32,1,34,24,217,3,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,33.2,56,23,35,15,6,34,83,41.0,49,394,122,31.0,184,120,90,51,9,0,42,43,91,2,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,25.3,0,0,0,0,0,0,2,0.0,2,4,1,25.0,4,0,0,0,0,0,0,1,2,1,Matches
13,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,20.4,40,28,10,23,7,8,32,25.0,24,475,133,28.0,107,232,136,52,7,0,45,13,16,0,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,25,1994,30.9,49,27,26,15,8,8,36,22.2,28,676,160,23.7,214,258,204,43,1,0,42,29,14,0,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,13.9,22,15,14,5,3,5,26,19.2,21,182,77,42.3,78,67,37,27,1,0,26,19,42,0,Matches
16,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,13.2,28,23,23,3,2,10,22,45.5,12,235,77,32.8,99,94,42,26,3,0,23,13,14,0,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,8.4,21,7,12,8,1,3,11,27.3,8,107,26,24.3,64,40,3,8,6,0,2,17,58,1,Matches
18,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,16.6,45,30,20,18,7,11,48,22.9,37,370,104,28.1,92,189,89,21,1,0,20,21,14,0,Matches
19,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,0.8,2,2,0,1,1,0,0,,0,7,1,14.3,1,3,3,1,1,0,0,0,1,0,Matches
20,Angeliño\Angelino,es ESP,DF,Manchester City,22,1997,4.7,8,5,4,3,1,5,6,83.3,1,47,18,38.3,14,25,8,4,0,0,4,9,18,0,Matches
21,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,1,0,1,0,0,0,0,,0,2,1,50.0,0,2,0,1,0,0,1,0,0,0,Matches
22,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,29,1990,17.3,13,9,4,4,5,2,11,18.2,9,301,69,22.9,23,139,139,24,5,0,19,9,8,0,Matches
23,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,27,1992,17.6,47,23,26,14,7,13,43,30.2,30,393,122,31.0,111,181,101,22,4,0,18,10,22,1,Matches
24,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,32.0,0,0,0,0,0,0,2,0.0,2,2,0,0.0,2,0,0,0,0,0,0,1,1,2,Matches
25,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,8.3,12,9,4,6,2,4,15,26.7,11,243,47,19.3,98,105,40,28,1,0,27,2,6,0,Matches
26,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,30,1989,32.5,35,22,13,12,10,11,44,25.0,33,547,124,22.7,104,242,201,56,2,0,54,9,16,0,Matches
27,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,27.0,86,49,57,23,6,28,55,50.9,27,473,142,30.0,231,172,70,51,6,0,45,37,98,0,Matches
